"Contract No","Title","DAC Code","Contractor","Contractor Nationality","Country or Region","Action location","Amount in Euro","Type of contract","Duration","Duration Unit","Year"
160413,"AT plan de formation développement des capacités managériales des cadres du MEN","N/A","EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","Morocco","Population cible: cadres administratifs du MEN
Localisation: niveau central et régional",113596,"Services",88,"J",2008
160458,"Assistance technique pour la Formulation et la mobilisation des Actions d'appui institutionnel du Programme d'Appui à la Compétitivité ",15110,"ACE ASESORES DE COMERCIO EXTERIOR SL","Spain","Tunisia","Tunis",68456,"Services",81,"J",2008
160469,"AT Définition d'un système de formation continue des enseignants du Ministère de l'Education Nationale (MEN)","N/A","EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","Morocco","Population cible: Cadres administratifs du MEN, en particulier ceux de la de la direction de la stratégie et planification et ceux de la
formation continue, et ensemble des enseignants du primaire et du secondaire.
Localisation: Service centraux directement, et ensemble du pays indirectement. ",118376,"Services",81,"J",2008
160551,"Complementary contract to 2004/086-887:  financial audit of the grant contracts for the emergency support programs to the SMEs of East Jerusalem (PDFJ) and WBG (PDF)","N/A","BAKER TILLY GROUPE FRANCE AUDIT SA","France","West Bank and Gaza Strip","Occupied Palestinian Territory : Jerusalem and Ramallah",30934,"Services",2,"M",2008
160732,"Appui a l'amelioration de la Gouvernance Locale",15112,"CONCEPTION, ETUDES ET COOPERATION DE FORMATION SA","Belgium","Lebanon","Country : Lebanon
Target group : Clusters of Municipalities of Aley, Akkar, Bent Jbeil, Chouf Sweijani, Haut Chouf, Haut Metn, Hermel, Iqlim el Touffah, Jezzine, Keserwane, Sahl and Zghorta.",185870,"Services",13,"M",2008
161061,"Appui a l'amelioration de la Gouvernance Locale",15112,"CONCEPTION, ETUDES ET COOPERATION DE FORMATION SA","Belgium","Lebanon","Country : Lebanon
Target group : Clusters of Municipalities of Aley, Akkar, Bent Jbeil, Chouf Sweijani, Haut Chouf, Haut Metn, Hermel, Iqlim el Touffah, Jezzine, Keserwane, Sahl and Zghorta.",99280,"Services",40,"J",2008
161171,"Supply of IT equipment for the Ministry of Human Rights",15160,"ZENITS DIS TICARET LTD STI","Turkey","Yemen","Sana'a - Ministry of Human Rights to the Republic of Yemen",61238.35,"Supplies",6,"M",2008
161177,"Supply of vehicles to Ministry of Human Rights","N/A","UNITED FOR ENGINEERING PROJECTS & OILFIELDS SERVICES LIMITED LIABILITYCOMPANY","Yemen","Yemen","Sana'a - Ministry of Human Rights to the Republic of Yemen",137600,"Supplies",6,"M",2008
161193,"Support for the Establishment of a National Human Rights Institution in Yemen",15150,"TRANSTEC SA","Belgium","Yemen","Sana'a, Republic of Yemen with consultations in Aden and Mukalla",195460,"Services",500,"J",2008
161195,"Technical Assistance to the Ministry of Human Rights of the Republic of Yemen",15160,"BERENSCHOT GROEP BV","Netherlands (The)","Yemen","Sana'a, Yemen, Ministry of Human Rights",169286,"Services",500,"J",2008
161396,"Provision of Computer training to selected Ministry of Human Rights staff",11430,"ABDULRAHMAN AHMED MOHAMMED AL SURMI","Yemen","Yemen","Sana'a, Yemen",9915,"Services",12,"M",2008
161401,"Provision of English language training",11430,"MAZEN SHAWQI MOHAMMED LUQMAN","Yemen","Yemen","Sana'a, Yemen",9960,"Services",12,"M",2008
161404,"Provision of Report Writing training in English language",11430,"AMERICA MIDEAST EDUCATIONAL AND TRAINING SERVICES SVCS INC","United States","Yemen","Sana'a, Yemen",3375,"Services",12,"M",2008
161409,"Business writing training in Arabic language","N/A","CORNILUS ADRIANUS DOULIDI","Yemen","Yemen","Sana'a, Yemen",9000,"Services",18,"M",2008
161748,"Mitigation of Problems Related to Use and Recycling of Drainage Water of Nubaria Canal Water for Treated Potable Drinking Purposes",14015,"MONTGOMERY WATSON HARZA SA","Belgium","Egypt","Egypt",179000,"Services",135,"J",2008
161758,"Preparation of Technical Assistance for Regional Centre for Renewable Energy and Energy Efficiency (RCREEE)",23010,"COWI BELGIUM SPRL","Belgium","Egypt","Egypt",173684,"Services",260,"J",2008
161791,"Quality System and Application for Accreditation in the Food Laboratory in Shafa Badran",33120,"EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","Jordan","Shafa Badran - Food Laboratory",102220,"Services",180,"J",2008
162171,"Technical Assistance on strategic planning, monitoring and evaluation","N/A","BERENSCHOT GROEP BV","Netherlands (The)","Egypt",,85944,"Services",180,"J",2008
162218,"Elaboration d¿une fiche de projet de jumelage institutionnel et/ou d'assistance technique au bénéfice de la Direction des Entreprises Publiques et de la Privatisation ","N/A","EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","Morocco","Le bénéficiaire du projet est la Direction des Entreprises Publiques et de la Privatisation au sein du Ministère de l'Economie et des Finances du Royaume du Maroc (Rabat).",71012,"Services",300,"J",2008
162345,"Strengthening the Capacity in Management, Leadership and Planning of the Ministry of Labour of Jordan",16020,"EUROPEAN CONSULTANTS ORGANISATION SPRL","Belgium","Jordan","Jordan, Amman",130000,"Services",270,"J",2008
162398,"Technical Assistance for the Ombudsman  Bureau in Jordan",15160,"SUDGEST AID AIUTARE LO SVILUPPO DIFFICILE SCRL","Italy","Jordan","Jordan, Amman",85245,"Services",120,"J",2008
162419,"THE PREPARATION OF A TWINNING PROJECT FICHE AND PROVISION OF TECHNICAL ASSISTANCE FOR THE DEVELOPMENT OF CONSUMER PROTECTION POLICY AND PRACTICES IN EGYPT",33110,"INVESTISSEMENT DEVELOPPEMENT CONSEIL SA","France","Egypt","Cairo",197400,"Services",360,"J",2008
162893,"Technical Assistance in Fish Quality Control",31310,"LAMANS AE","Greece","Yemen","Sana'a - Yemen",667250,"Services",22,"M",2008
163113,"Organisation de deux séminaires dans le cadre des activités du projet","N/A","AUTOGRAPH SARL","Morocco","Morocco","Atelier régional : ville de Khénifra.
Séminaire national : ville de Meknès (première journée) et zone d'intervention du projet, province de Khénifra (deuxième journée)",80000,"Services",16,"M",2008
163121,"Support to the Lebanese Customs in Strengthening National  Infrastructure related to Lebanese Trade and Border Control ","N/A","RESOURCES AND LOGISTICS SARL","France","Lebanon","The execution of the project will be conducted in Beirut, Saida, Tyre, Tripoli, Masnaa, Kaa, Arida, and Abboudiyyeh ",146000,"Services",548,"J",2008
163207,"Technical Assistance in Project Management and Fisheries Information Systems","N/A","INTERNATIONAL INDEMAR FISHERIES SL","Spain","Yemen","Sana'a - Yemen",1938990,"Services",22,"M",2008
163217,"Industrial Application of Energy Efficiency in Water Cycle Management",14010,"PARSONS BRINCKERHOFF LTD","United Kingdom","Egypt","Egypt",153450,"Services",181,"J",2008
163218,"Dissemination of Governorate-Based National Master Plan for Water Supply and Wastewater",14010,"ITALTREND SPA","Italy","Egypt","Egypt",199200,"Services",300,"J",2008
163231,"Assistance technique au profit du Ministère de l'Education et de la Formation pour mettre en place une fonction observatoire",11330,"AGRICONSULTING EUROPE SA","Belgium","Tunisia","Tunisie",152267,"Services",480,"J",2008
163237,"ST TA for the appoximation and enforcement of the EU legislations in priority sectors for the Jordan Institute for Standards and Metrology",33120,"ECA ENTIDAD COLABORADORA DE LA ADMINISTRACION SA","Spain","Jordan","Jordan - Amman",99970,"Services",120,"J",2008
163243,"TA to support the Ministry of Transport in upgrading the three year national transport strategy (2009-2011) and capacity building of the MoT","N/A","HYDROPLAN INGENIEURS GMBH","Germany","Jordan","Jordan , Amman",153605,"Services",130,"J",2008
163269,"Inductively Coupled Plasma-Mass Spectrometer ICP-MS testing expert for IS-ASEZA","N/A","ECORYS NEDERLAND BV","Netherlands (The)","Jordan","Aqaba, Jordan ",19820,"Services",18,"J",2008
163409,"Evaluation  finale du programme de Développement Rural Intégré et de Gestion des Ressources Naturelles",31120,"ITALTREND SPA","Italy","Tunisia","Tunisie, region Nord. Gouvernorats de :
Bizerte, Nabeul, Zaghouan, Le Kef, Siliana, Jendouba, Kasserine, Kairouan",114921,"Services",90,"J",2008
163411,"Evaluation finale du Programme de Mise en Valeur en Petite Hydraulique autour des Barrages Collinaires",31120,"DANSK LANDBRUGSRADGIVNING LANDSCENTRET FORENING","Denmark","Tunisia","Tunisie, region Nord. Gouvernorats de :
Zaghouan, Le Kef, Siliana, Kasserine, Kairouan",91394,"Services",75,"J",2008
163533,"Elaboration d¿une fiche de projet d¿assistance technique et/ou de jumelage institutionnel au bénéfice de l¿Office Marocain de la Propriété Industrielle et Commerciale (OMPIC)","N/A","POHL CONSULTING & ASSOCIATES GMBH","Germany","Morocco","Le bénéficiaire est l¿Office Marocain de la Propriété Industrielle et Commerciale (OMPIC), situé à Casablanca (Maroc)",79999,"Services",300,"J",2008
163851,"Logistics for Study Tours and Internships - Agro Food Vocational and Technical School at Qab Elias ",11330,"ITALTREND SPA","Italy","Lebanon","Beneficiary based in Italy, study tours to take place in various locations in Europe and MENA (to be identified)",134200,"Services",470,"J",2008
164065,"Preparation of Twinning Project Fiche /Technical Assistance for Holding Company for Water and Wastewater (HCWW)",14010,"COWI BELGIUM SPRL","Belgium","Egypt","Egypt",198610,"Services",275,"J",2008
164069,"Elaboration d¿une fiche de projet d¿assistance technique et/ou de jumelage institutionnel au bénéfice de l¿Agence de la Conservation foncière, du Cadastre et de la Cartographie","N/A","DANSK LANDBRUGSRADGIVNING LANDSCENTRET FORENING","Denmark","Morocco","Le bénéficiaire est l¿Agence de la Conservation foncière, du Cadastre et de la Cartographie du Royaume du Maroc (située à Rabat)",73984,"Services",300,"J",2008
164078,"CONSTRUCTION AND REHABILITATION OF LANDING AND AUCTION SITES AND RELATED BUILDINGS AT DOCK YARD (ADEN GOVERNORATE)",31391,"UNITED FOR ENGINEERING PROJECTS & OILFIELDS SERVICES LIMITED LIABILITYCOMPANY","Yemen","Yemen","Aden, Yemen",299086,"Works",12,"M",2008
164081,"Construction and Rehabilitation of landing and auction sites and related buildings at SHOQRA (Abyan Governorate)",31391,"ABDULBASET HASSAN","Yemen","Yemen","Shoqra landing site, Abyan governorate, Yemen",297200,"Works",12,"M",2008
164082,"CONSTRUCTION AND REHABILITATION OF LANDING AND AUCTION SITES AND RELATED BUILDINGS AT SALIF  (Al-HODEIDAH GOVERNORATE)",31391,"UNITED FOR ENGINEERING PROJECTS & OILFIELDS SERVICES LIMITED LIABILITYCOMPANY","Yemen","Yemen","Salif, Al hodeida governorate, yemen",198435,"Works",12,"M",2008
164090,"TECHNICAL ASSISTANCE AND SUPERVISION 
SERVICES FOR CONSTRUCTION AND REHABILITATION OF 
A: LANDING AND AUCTION SITES AND RELATED BUILDINGS AT SHOQRA (ABYAN GOVERNORATE), DOCK YARD (ADEN GOVERNORATE), SALIF (AL-HODEIDAH GOVERNORATE).",31391,"QASEM MOHAMED QAID ALMEHANI","Yemen","Yemen","Shokra, Aden, Hodeiha - Yemen ",110000,"Services",15,"M",2008
164145,"Preparation and production of training DVD about protection of crime scene",15130,"DJINN HOUSE PRODUCTIONS SARL","Lebanon","Lebanon","Lebanon-Beirut",38000,"Services",6,"M",2008
164265,"Supply of IT hardware and sofware for implementation of the Fisheries Information System, Republic of YEMEN",31391,"ZENITS DIS TICARET LTD STI","Turkey","Yemen","Offices of the Ministery for Fisheries Wealth, Yemen",582735.51,"Supplies",12,"M",2008
164266,"SFDS - Supply of Laboratory Equipment for the Ministery of Fish Wealth, Republic of Yemen",31391,"SIMED INTERNATIONAL BV","Netherlands (The)","Yemen","Laboratories of the Ministery for Fisheries Wealth, Republic of Yemen",678826.92,"Supplies",12,"M",2008
164269,"Supply of Laboratory Equipment and Chemical Reagents for the Ministry of Fisheries Wealth, Republic of Yemen - Lot 2 - Chemical Reagents",31391,"AL-FAIHA FOR LABORATORIES AND SCIENSCIENTIFIC SUPPLIES LLC","Jordan","Yemen","Laboratories of the Ministery for Fisheries Wealth, Republic of Yemen",38283,"Supplies",12,"M",2008
164303,"Supply of Telecommunication Equipment to SEBC/SME Support Programme",32130,"MOUHAMAD FIRAS BAKOUR & PARTNERS CO. SYRIAN DATA SYSTEMS","Syria","Syria","Damascus- Syria",9450,"Supplies",12,"M",2008
164345,"Equipment for the temporary simulation platform of the project ¿Improvement of the criminal investigation at all the stages of the penal chain¿

","N/A","INTERTECH BATINORM SAL","Lebanon","Lebanon","Beirut/Lebanon",145000,"Supplies",12,"M",2008
164350,"Financial Audit for IS-ASEZA","N/A","MAZARS ET GUERARD SA","France","Jordan",,14895,"Services",10,"J",2008
164352,"Human Resources & Performance Management Consultant (HRPMC) ","N/A","ECORYS NEDERLAND BV","Netherlands (The)","Jordan",,26425,"Services",31,"J",2008
164483," EU-Egypt Innovation Fund - Technical Assistance for the assessment of calls for proposals",43082,"TRANSTEC SA","Belgium","Egypt","Cairo, Egypt",169167,"Services",450,"J",2008
164489,"Technical assistance for the evaluation of the R&D policies and practices in Egypt",43082,"ATOS ORIGIN BELGIUM SA","Belgium","Egypt","Cairo",197076,"Services",180,"J",2008
164784,"Evaluation finale du programme d'appui au PME",32130,"INTERNATIONAL BUSINESS MACHINES OFBELGIUM SA","Belgium","Algeria","Algérie",185866,"Services",144,"J",2008
164928,"Audit to the financial and budgetary execution of annual work plans of the MVET Programme",11330,"AGN-ASAS BUSINESS CONSULTANCY LTD","Syria","Syria","Damascus, Syria, Middle East",9075,"Services",8,"M",2008
165375,"Evaluation of AFKAR II programme",92010,"SUDGEST AID AIUTARE LO SVILUPPO DIFFICILE SCRL","Italy","Lebanon","All lebanese territories.",23875,"Services",25,"J",2008
165380,"Final Evaluation of the Financial and Investment Sector Cooperation (FISC) Rural Component Project","N/A","DANSK LANDBRUGSRADGIVNING LANDSCENTRET FORENING","Denmark","Egypt","Nationwide",39194,"Services",28,"J",2008
165470,"Final Evaluation of the Financial and Investment Sector Cooperation (FISC) Social Component Project","N/A","TRANSTEC SA","Belgium","Egypt","Nationwide",51924,"Services",28,"J",2008
165713,"contrat audit n° 1/2008","N/A","CHBANI & ASSOCIES SARL","Morocco","Morocco","Maroc- Province de Taounate - population rurale",22500,"Supplies",6,"M",2008
165768,"Final Evaluation for IS-ASEZA programme","N/A","POHL CONSULTING & ASSOCIATES GMBH","Germany","Jordan",,16060,"Services",8,"J",2008
166194,"Final Performance Appraisal Mission - Poverty Alleviation through Local Development Programme (PALD)",15112,"HTSPE LIMITED","United Kingdom","Jordan","Jordan, Amman",74745,"Services",15,"J",2008
166311,"Formation ''ingénierie sociale et developpement local'' -PADSEL-NEA",43040,"SUDGEST AID AIUTARE LO SVILUPPO DIFFICILE SCRL","Italy","Algeria","Ll s'agit de formations qui auront lieu dans la région du Nord-Est de l'Algérie",139818,"Services",180,"J",2008
167666,"Recrutement de deux experts pour préparer des termes de référence de marchés et le démarrage des activités du programme d'appui à la facilitation du commerce (Facico).",33120,"TRANSTEC SA","Belgium","Algeria","Ministère du Commerce
Alger
ALGERIE",121368,"Services",45,"J",2008
167789,"International Conference on Egyptian - European TVET Days 2009 and various Workshops/Seminars in 2008 and 2009","N/A","ITALTREND SPA","Italy","Egypt","Cairo",146895,"Services",270,"J",2008
167893,"MONITORING OF THE IMPLEMENTATION OF THE PROGRAMME IN SUPPORT TO JORDAN'S NATIONAL EDUCATION STRATEGY",11110,"HTSPE LIMITED","United Kingdom","Jordan","Jordan, Amman",11620,"Services",10,"J",2008
168041,"Needs Assessment and preparation of tender dossiers for support to Parliament in Republic of Yemen",15152,"SUDGEST AID AIUTARE LO SVILUPPO DIFFICILE SCRL","Italy","Yemen","Sana'a, Republic of Yemen",113004,"Services",90,"J",2008
168734,"Mid-term review of the South Sinai Regional Development Programme and assessment of the internal monitoring system",43010,"PARSONS BRINCKERHOFF LTD","United Kingdom","Egypt","Governorate of South Sinai",194960,"Services",323,"J",2008
170424,"contrat n° 022008/C/SER/DCE/MA ",12220,"MAZARS MASNAOUI SARL","Morocco","Morocco","MAROC : PROVINCES D'OUJDA, NADOR,  BERKANE ET TAOURIRT
GROUPE-CIBLE : POPULATION DES PROVINCES CIBLEES",24000,"Services",1,"M",2008
170645,"Audit financier et de systèmes du programme d'appui aux associations algériennes de développement (ONG II)",92030,"MAZARS ET GUERARD SA","France","Algeria","Alger",37200,"Services",40,"J",2008
171178,"Organization of Travels, Seminars and Workshops for the Research, Development and Innovation Programme",43082,"ITALTREND SPA","Italy","Egypt","Cairo & sometimes other Governorates in Egypt",196500,"Services",301,"J",2008
172516,"Final Audit contract (AWP)",99810,"AGN-ASAS BUSINESS CONSULTANCY LTD","Syria","Syria","Damascus, Syria",4300,"Services",3,"M",2008
156098,"U1.04/07  OSA at Khmelnitsky",23064,"IBERDROLA SA","Spain","Ukraine","Location: Khmelnitsky NPP (Ukraine) ",1449400,"Services",36,"M",2008
156101,"U1.02/07 OSA at South Ukraine",23064,"SUEZ-TRACTEBEL SA","Belgium","Ukraine","Location: South Ukraine NPP (Ukraine)",1474325,"Services",30,"M",2008
156107,"R1.01/07  OSA at Kola NPP",23064,"IBERDROLA SA","Spain","Russia ","Polyarnye Zori (Russian Federation)",1498860,"Services",32,"M",2008
156158,"Body Counting: reencoding of  contract 120098, originally encoded under 2007 decision n° 017-977 as the payment deadline is epired",23064,"CENTRE DE SERVICES INTERENTRPRISES- PREVENTION ET PROTECTION AU TRAVAIL CESI - PREVENTION ET PROTECTIONASBL","Belgium","All Countries","Bruxelles",1560,"Services",3,"M",2008
156403,"A1.01/07 A1 Primary Circuit In-service Inspection - Medzamor NPP",23064,"USTAV JADERNEHO VYZKUMU REZ AS","Czech Republic","Armenia","Armenian NPP. Metsamor. Armenia",749860,"Services",36,"M",2008
156406,"A1.01/07 A2 Steam Generator In-service Inspection - Medzamor NPP",23064,"INETEC-INSTITUT ZA NUKLEARNU TEHNOLOGIJU DRUSTVO S OGRANICENOM ODGOVORNOSCU ZA ISTRAZIVACKO RAZVOJNE I KONSULTING USLUGE, PROIZVODNJU I TRGO","Croatia","Armenia","Armenian NPP. Metsamor. Armenia",1788400,"Services",12,"M",2008
156421,"A3.01/07 Support to the Nuclear Safety authority of Armenia: institution building",23064,"RISKAUDIT IRSN-GRS INTERNATIONAL GEIE","France","Armenia","Armenia - Medzamor neighbourhoud",799970,"Services",24,"M",2008
159161,"INSC Exploratory Mission to Jordan - June 2008
Expert Giuseppe Maresca - APAT",23064,"ISTITUTO SUPERIORE PER LA PROTEZIONE E LA RICERCA AMBIENTALE","Italy","All Countries","Jordan Ammann",9000,"Services",2,"M",2008
159163,"INSC Exploratory Mission to Jordan - June 2008
Expert Milos Tichy - SUBJ",23064,"STATNI URAD PRO JADERNOU BEZPECNOST","Czech Republic","All Countries","Jordan Ammann",9000,"Services",2,"M",2008
159329,"Total Body Counting",23064,"CENTRE DE SERVICES INTERENTRPRISES- PREVENTION ET PROTECTION AU TRAVAIL CESI - PREVENTION ET PROTECTIONASBL","Belgium","All Countries","Bruxelles & Luxembourg",1836,"Services",12,"M",2008
161186,"INSC exploratory mission to Egypt - July 2008
Expert Giuseppe Maresca - APAT",23064,"ISTITUTO SUPERIORE PER LA PROTEZIONE E LA RICERCA AMBIENTALE","Italy","Egypt","Target group: National Regulators of Egypt
Location: Cairo",9000,"Services",2,"M",2008
161189,"INSC exploratory mission to Egypt - July 2008
Expert Milos Tichy - SUJB",23064,"STATNI URAD PRO JADERNOU BEZPECNOST","Czech Republic","Egypt","Target group: National Regulators of Egypt
Location: Cairo",9000,"Services",2,"M",2008
161313,"INSC exploratory mission to Egypt - July 2008
Expert Lucian Biro - CNCAN",23064,"ROMANIA","Romania","Egypt","Target group: National Regulators of Egypt
Location: Cairo",9000,"Services",2,"M",2008
161317,"INSC exploratory mission to Egypt - July 2008
Expert Sandor Elo - HAEA",23064,"ORSZAGOS ATOMENERGIA HIVATAL CAH","Hungary","Egypt","Target group: National Regulators of Egypt
Location: Cairo",9000,"Services",2,"M",2008
162410,"NSI - official meetings with representatives of NSI partner countries",23064,"COMPASS GROUP BELGILUX SA","Belgium","All Countries","Brussels",3000,"Services",9,"M",2008
163322,"Management and Dissemination solution for nuclear safety relults - Complementary activities",23064,"TIPIK COMMUNICATION AGENCY SA","Belgium","All Countries","Location: Brussels",11949,"Services",44,"J",2008
165087,"Extension of activities for JMU - Addendum to contract 125105",23064,"THE CROWN AGENTS FOR OVERSEA GOVERNMENTS AND ADMINISTRATIONS LIMITED","United Kingdom","Russia ","Moscow, Russia",495155,"Services",11,"M",2008
168412,"Financial Audit concerning 'Lepse'",99810,"ERNST AND YOUNG BEDRIJFSREVISOREN CVBA","Belgium","Tacis Region",,37973.5,"Services",360,"J",2008
168565,"Order Form 919 - FC DI/05330",91010,"SYSTEMAT LUXEMBOURG SA","Luxembourg","Belgium","Bruxelles",17224.31,"Supplies",12,"M",2008
168930,"ASSISTANCE TO THE EUROPEAN COMMISSION IN THE PRELIMINARY DEFINITION AND CRITICAL ASSESSMENT OF PROPOSALS FOR COOPERATION IN THE FIELD OF NUCLEAR SAFETY IN CHINA AND SOUTHEAST ASIA",23064,"ATOS ORIGIN BELGIUM SA","Belgium","All Countries","China and South East Asia",174075,"Services",180,"J",2008
169077,"FINANCIAL AUDIT CONCERNING ''GREMIKHA''",99810,"ERNST AND YOUNG BEDRIJFSREVISOREN CVBA","Belgium","Tacis Region",,35504.5,"Services",360,"J",2008
169148,"Order Form 904 - FC DI/05891",91010,"GETSYS SOCIETE MOMENTANNEE","Belgium","Belgium","Bruxelles",11575.06,"Supplies",12,"M",2008
170909,"U7.01/08 - Joint Support Office at Kiev for the management of the nuclear safety instrument in Ukraine",23064,"ENCONET CONSULTING GMBH","Austria","Ukraine","Kiev, Ukraine",2996425,"Services",36,"M",2008
171240,"Assessment of remediation needs for the Uranium tailings in Central Asia  ",23064,"COWI BELGIUM SPRL","Belgium","Tacis Region","Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Mongolia",195422,"Services",365,"J",2008
172414,"Additional activities for the ICSRM project in Chernobyl ¿ Provision of a ventilation system for Building 84 (U4.02/07A)",23064,"NUKEM TECHNOLOGIES GMBH","Germany","Ukraine","Location: Chernobyl Nuclear Power Plant
Terget Group: Kiev Region population",400000,"Works",17,"M",2008
116766,"R2.01/05 - Establishment of a ¿Branch diagnostics System¿ in Concern Rosenergoatom ",23064,"TES SRO","Czech Republic","Russia ",,880480,"Services",24,"M",2008
116768,"R2.03/05 - Lot1 - Supply of transport means and rescue equipment, tools and devices to the Emergency Training Centre of Novovoronezh
",23064,"OWR GMBH","Germany","Russia ","Novovornezh",592524,"Supplies",45,"M",2008
116779,"Lot 3 and Lot 4: R4.05/05 - Procurement of facilities and/or equip­ment dedicated to RRC-KI Nuclear and Radioactive Dangerous Objects decommissioning, SNF and RW management and territory remediation ",23064,"CANBERRA EURISYS BENELUX NV","Belgium","Russia ","Moscow",1082885.3,"Supplies",31,"M",2008
116788,"B3.01/05 - BE/RA/04 Regulatory Assistance and Technical Support in the Field of Radiation Protection and Emergency Preparedness ",23064,"RISKAUDIT IRSN-GRS INTERNATIONAL GEIE","France","Belarus","MES
Minsk, Belarus",699950,"Services",24,"M",2008
116800,"U2.01/05 - Development of strategy and methodologies for inspection and preventive maintenance of safety valves of the Ukrainian NPP¿s",23064,"TECNATOM SA","Spain","Ukraine",,1039650,"Services",36,"M",2008
116807,"U4.01/05 - Establishment of a comprehensive Radiation Monitoring and Early Warning system in the Chernobyl exclusion zone ",23064,"UKRAINIAN ATOM INSTRUMENTS AND SYSTEMS CORPORATION","Ukraine","Ukraine","Chernobyl Exclusion Zone, Ukraine",2013449,"Supplies",55,"M",2008
116808,"U4.02/05B - Development of a strategic programme for the socio-economic development of the Chernobyl region in the immediate vicinity of the Chernobyl exclusion ",23064,"LATTANZIO E ASSOCIATI SRL","Italy","Ukraine","socio-economic development in the immediate vicinity of the Chernobyl Exclusion Zone, and more precisely, the Ivankiv Raion.
Target groups: 
1. the population living and working in the goegraphical area, for which new employment possibilities will be developed
2. the employees of the enterprises established as a result of the Project impplementation",956630,"Services",18,"M",2008
121629,"Supply of Traffic forecast equipment - TRACECA corridor",21010,"PTV PLANUNG TRANSPORT VERKEHR AG","Germany","Tacis Region","Supply of IT equipment to the TRACECA Permanent Secretariat in Baku (Azerbaijan)",199177,"Supplies",27,"M",2008
124172,"Integration of Ukraine in the Trans-European Transport Network TEN-T
",21010,"CORPORATE SOLUTIONS CONSULTING LIMITED","United Kingdom","Ukraine","Ukraine",5855000,"Services",29,"M",2008
126147,"Administrative Capacity Building in the Kaliningrad Oblast - Supply of equipment, Lot 2",15140,"WESTCOMP PLUS ZAO","Russia ","Russia ","Kaliningrad - RU",112102,"Supplies",3,"M",2008
129457,"Implementation of Ukraine¿s commitments under WTO and ENP frameworks in the rural sector (Sector Wide Approach)",31120,"WYG INTERNATIONAL LIMITED","United Kingdom","Ukraine","Ukraine 
Component 2. Food safety
¿ Kyiv
¿ Lviv (2 laboratories)
¿ Poltava
¿ Cherkassy
¿ Dnipropetrovsk
Component 3. Market Infrastructure
¿ Odesa (wholesale market operations)
¿ Kherson (farmers¿ assembly market)
¿ Crimea (farmers¿ assembly market)
¿ Lviv (wholesale market, dissemination of the best local models and practices)
Component 4. Rural Development
¿ Cherkassy
¿ Crimea",4740000,"Services",38,"M",2008
132488,"R3.01/06 Institutional and technical support to Rostechnadzor and its TSOs to develop their capabilities on the basis of transferred Western European safety principles and practices",23064,"RISKAUDIT IRSN-GRS INTERNATIONAL GEIE","France","Russia ","Russian Federation:
Moscow at Rostechnadzor.  NPP and other Nuclear sites, including Zheleznogorsk, Lermontov, Mayak.  Trainings and workshops in Dimitrovgrad and Ekaterinburg.",3199400,"Services",36,"M",2008
132884,"U1.01/06A Rovno NPP - Solid Radioactive Waste Treatment Facility
Lot 4: Activity Measurement",23064,"ENVINET AS","Czech Republic","Ukraine","Rivne NPP in Ukraine",578980,"Supplies",54,"M",2008
132886,"U1.01/06A2 Rovno Retrieval Facility - lot 1
",23064,"ONET TECHNOLOGIES GRANDS PROJETS SAS","France","Ukraine","Rivne NPP in Ukraine",2448703,"Supplies",45,"M",2008
132888,"U3.01/06 Technical support to SNRCU and its TSOs in assessment of implementation of safety upgrading measures and lifetime management programmes at NPP units",23064,"RISKAUDIT IRSN-GRS INTERNATIONAL GEIE","France","Ukraine","Target groups : SNRCU and its TSO and in general all institutions and organisations dealing with nuclear Safety.
Geographical area : Ukraine in general and the 15 Ukrainian NPPs in particular.",849992,"Services",36,"M",2008
132893,"U4.04/06 Decommissioning Information Support System for the Chernobyl NPP",23064,"ENERGIEWERKE NORD GMBH","Germany","Ukraine","Target group: Kiev region population
Location: Chernobyl NPP
",1532534.9,"Services",45,"M",2008
132897,"G3.01/06 - GE/RA/02 Development of Safety and Regulatory requirements for RWM and licensing support for RWM facilities",23064,"RISKAUDIT IRSN-GRS INTERNATIONAL GEIE","France","Georgia","NRSS
Tblisi, Georgia",499951,"Services",24,"M",2008
132898,"TA REG 05/06S (RU-UA-KZ-AM) ¿ Nuclear Material Accountancy and Control ¿ procurement of equipment 1st part",23064,"JRC CCR JOINT RESEARCH CENTRE - CENTRE COMMUN DE RECHERCHE","Belgium","Russia ","Location: Moscow
",5300000,"Supplies",36,"M",2008
134398,"Trans Boundary River Management phase II for the Kura River",14015,"EPTISA SERVICIOS DE INGENIERIA SA","Spain","Region Neighbourhood","The action is targeted at the relevant ministries and agencies in Georgia, Armenia and Azerbaijan with the overall objective of improving the water quality of the Kura River.",3174500,"Services",30,"M",2008
