"Contract No","Title","DAC Code","Organisation","Organisation Nationality","Country or Region","Action location","Amount in Euro","EC financing","Total cost in Euro","Duration","Duration Unit","Year"
123449,"Krapivna-The Rebirth of a Pearl of the Russian Province",16061,"HEIMATBUND THURINGEN EV","Germany","Russia ","Krapivna, Tula Oblast, Russia",200000,80,250000,24,"M",2007
123609,"Networking for De-institutionalisation",11240,"THE EUROPEAN CHILDREN'S TRUST ","United Kingdom","Russia ","Sverdlovsk
St. Petersburg
Moscow",400000,80,500000,24,"M",2007
134271,"The Three Diseases Fund",12000,"UNITED NATIONS OFFICE FOR PROJECT SERVICES","United States","Myanmar","3DF targets people living with HIV & AIDS, TB and/or malaria throughout Burma/Myanmar  with a special focus on a) those living in remote and border regions and b) under-served population groups, particularly those at greatest risk of one or other of the diseases.",18000000,23.51,76553030,48,"M",2007
133110,"Development of investment capacities in the Hincesti-Leuseni tourist zone",33210,"HINCESTI MUNICIPALITY","Moldova","Moldova","Republic of Moldova, Hincesti and Leuseni",299122.58,71.42,418830.1,24,"M",2007
137797,"Projet d'Appui à la sécurité alimentaire au Sahel occidental",52000,"DEUTSCHE WELTHUNGERHILFE EV","Germany","Mali","l'action s'adresse aux associations/groupements d'hommes et/ou femmes porteurs d'initiatives dans le domaine de la sécurité alimentaire et aux comnseils communaus des communes en difficulté alimentaire et des communes en difficulté économique. La zone d'intervention du projet est au Mali, région de Kayes, cercles de Nara (Allahina, Dabo, Dilly, Dogofry, Fallou, Gueneibé, Guiré, Koronga, Nara, Niamana et Ouagadou) et Yélimané (Diafounou-Gory, Guidimé, Kirané,Kremis, Marekaffo, Soumpou, Fanga, Toya et Gory)",488547,90,542830,33,"M",2007
143415,"Fortalecimiento de los Actores Locales en Agua y Saneamiento en un contexto de GIRH en la Sierra Sur del Ecuador ",14030,"PROJEKTGROEP VOOR TECHNISCHE ONTWIKKELINGSSAMENWERKING VZW","Belgium","Ecuador","La acción se desarrolla en Ecuador en la: 
1) Provincia de Loja, Cantón de Saraguro, Parroquias: Urdaneta, San Antonio de Cumbe, Tablón y San Pablo de Tenta
2) Provincia de Azuay, Cantón de Oña, Parroquias: Oña y Susudel
",748580,74.98,998406.3,48,"M",2007
134100,"Sostenibilidad de los sistemas de producción y diversificación económica para las familias indígenas de los ayllus de Salinas de Garcí Mendoza, Llica y Tahua.",43040,"ASSOCIATION VETERINAIRES SANS FRONTIERES - CENTRE INTERNATIONAL DE COOPERATION POUR LE DEVELOPPEMENT AGRICOLE VSF CICDA","France","Bolivia","Bolivia, departamento Oruro, Provincia Ladislao Cabrera, Municipio Salinas de Garci Mendoza. Departamento Potosí, Provincia Daniel Campos, Munipios Llica, Tahua.
Target Group: 1500 farmers families and local government authorities. ",694981,75,926642,36,"M",2007
143030,"additional commitment for contract 47-107: Promocion de la Seguridad Alimentaria en la Comunidad Indigena de Sutiava",43040,"COOPERAZIONE PER LO SVILUPPO DEI PAESI EMERGENTI ONLUS","Italy","Nicaragua","Nicaragua",288.15,100,288.15,1,"D",2007
135197,"''Microprojets communaux et associatifs à Brazzaville -  
MICAB - Congo
''
",16050,"GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES","France","Congo (Brazzaville)","Brazzaville- République du Congo",750000,67.59,1109710.74,36,"M",2007
143082,"Promoting the democratic process in Rwanda through development of th electrol process, freedoms of association and expression, and capacity building",15162,"SHARING ASBL","Rwanda","Rwanda","Rwanda, all 4 provinces, all 30 districts. The targeted groups are 3000 local authorities, 600 sector and district local defense forces, 600 policemen and250  policewomen, 250 members of the army forces, 150 judicial officials, 150 observers, 700 teachers, 50 journalists, 2500 opinion leaders, 3000 women, 4500 students, 500 recent returnees from Tanzania, 350 ex-genocide  prisoners and those who will visit the website.",55599,76.2,72964,14,"M",2007
142834,"ELE: Mission d'observation Electorale Equateur 2007",15161,"INTERNATIONAL ORGANIZATION FOR MIGRATION","Switzerland","Ecuador","EQUATEUR",2295354,100,2295354,24,"M",2007
137846,"Revalorisation de l'atelier de travail des personnes avec handicap de l'Arche de Carrefour",15150,"ARCHE-HAITI ASBL","Haiti","Haiti","Carrefour",32032.16,90,35591.29,24,"M",2007
143158,"Provision of Health information through the distribution of a magazine all over Afghanistan",12261,"AIDE MEDICALE INTERNATIONALE FRANCE","France","Afghanistan","Afghanistan",100000,58.61,170629,18,"M",2007
143604,"Citizenship and Nationalism: Are We Aware",15162,"HELSINKI YURTTASLAR DERNEGI","Turkey","Cards Region","Istanbul  (Turkey)",65350,89.99,72620,10,"M",2007
134379,"Prévention de la traite, de l¿exploitation et de l¿extrême vulnérabilité des enfants à travers le renforcement socioéconomique des femmes en charge d¿enfants
",11230,"CROIX ROUGE DE BELGIQUE","Belgium","Burkina Faso","5 provinces de Burkina Faso : Boulou (chef lieu Tenkodogo), Boulkiemdé (Koudougou), Kadiogo (Ouagadougou, Kourritenga (Koupéla), Sanmatenga (Kaya).",673149.84,75,897533.12,36,"M",2007
129654,"Strengthening Protection Capacities in Tanzania ¿ Supplementing the Regional Protection Programme Pilot Project",15162,"UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES","Switzerland","Tanzania","Tanzania",934798.4,80,1168498,24,"M",2007
143615,"Mindanao Trust Fund - Reconstruction & Development Programme - Contribution Agreement with the World Bank",43010,"THE WORLD BANK GROUP","United States","Philippines","the Philippines, Mindanao",1000000,2.33,43000000,5,"Y",2007
140478,"NP LIT/POL/KAL: On the trail of the castles in the Baltic Sea region - revitalization and promotion of the objects",16061,"STOWARZYSZENIE GMIN POLSKIE ZAMKI GOTYCKIE","Poland","Russia ","Geographical location: Kaliningrad region (Russia); Warmina-Mazurskoje, Pomorskie Voivodships(PL)
Target groups: local museums, tourist companies, local and regional authorities related to tourism development.",244556.74,90,271729.71,24,"M",2007
143238,"Kunduz Integrated Water Initiative (KIWI)",31140,"MERCY CORPS SCOTLAND LTD","United Kingdom","Afghanistan","Baghlan Sub-Basin: Aqtepa canal (Qala-e Zal district), Abdullah canal (Aliabad district), Aab Qul canal (Baghlan district), Gulgurak/Pul-e Kumri canals (Pul-e Kumri district) as well as three smaller canals of Nahrin district.",725560,91.45,793395,24,"M",2007
143255,"Prevention and Control of Avian and Human Pandemic Influenza in Myanmar",12191,"WORLD HEALTH ORGANIZATION","Switzerland","Myanmar","Myanmar, central and nationwide.
Target: Ministry of Health, health services and laboratories. ",1000000,100,1000000,24,"M",2007
130158,"Italy Albania and Greece against trafficking of women and minors",15162,"CENTRO DI INFORMAZIONE E EDUCAZIONE ALLO SVILUPPO,ASSOCIAZIONE","Italy","Albania","Italy Albania and Greece",1045949.74,80,1307437.17,30,"M",2007
133616,"Liderazgo en  las políticas locales para la gobernabilidad democrática",92020,"IBIS","Denmark","Nicaragua","Nicaragua. Región de Las Segovias (27 municipios) y Región de Noroccidente (11 municipios).",375315,75,500420,36,"M",2007
133688,"CADENAS PRODUCTIVAS Y MANEJO SOSTENIBLE DE LOS  RECURSOS NATURALES EN ZONAS DE LADERA DEL MUNICIPIO DE PESPIRE.",43040,"OIKOS COOPERACAO E DESENVOLVIMENTO","Portugal","All Countries","Municipio de Pespire, Departamento de Choluteca, Honduras",589014,75,785352,36,"M",2007
142986,"Palestinian Customs Modernization Programme: ASYCUDA-Phase III",33120,"UNITED NATIONS CONFERENCE ON TRADEAND DEVELOPMENT","Switzerland","West Bank and Gaza Strip","West Bank and Gaza Strip, in particular the offices of the PA Customs Authority, including Headquarters (Ramallah) and regional offices (Bethlehem, nablus, Hebron, Tulkarem, Qalqiliya, Jenin, Jericho, Gaza, Rafah, Khan Ynius, Gaza Airport; in the Gaza offices implementation is temporarily suspended)",2548941,100,2548941,30,"M",2007
141853,"Preparation of Electoral Roll with Photographs (PERP)",15161,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Bangladesh","Bangladesh (countrywide)",15000000,23.1,64922683,36,"M",2007
141865,"Food Security and Safe Water for Pibor County, Jonglei State, Southern Sudan",52010,"ASSOCIAZIONE COOPERAZIONE INTERNAZIONALE","Italy","Sudan","Southern Sudan, Jonglei State, Pibor County, Lekongole, Pibor, Gumuruk and Verthet Payams.",1110000,79.49,1396433,24,"M",2007
132592,"Lutte contre les violances faites aux femmes dans la région de Fes-Boulmane, à travers la sensibilisation aux droits des femmes et la diffusion d'une culture de l'egalite entre sexes",15162,"ASSOCIATION CHOUROUK POUR LE DEVELOPPEMENT SOCIAL","Morocco","Morocco","Maroc, Fés/Boulmane/Sefrou

3900 femmes de 4 douars (villages) et 4 quartiers 
4620 jeunes (filles et garçons)
15 associations de quartiers  et des douars (Fès : 5 associations, Azrou : 5 associations, Sefrou : 2 associations, Taounate : 2 associations, Boulmane : 1 association) et  4 autorités locales - Arrondissement jnane Elouarde, Arrondissement Fès Medina, Arrondissement Sehrije Gnaoua / Sehb Elouarde, Arrondissement Sidi Boujida / jnanate).
",98511,89.68,109843,36,"M",2007
142074,"Foundation of International Ukrainian ¿ Polish Association of Mountain Guides in Carpathian Mountains",33210,"LVIVSKA ASOCIACIJA ROZVITKU TURIZMU","Ukraine","Tacis Region",,139995,90,155550,18,"M",2007
142076,"Introduction of innovation methods into forming and development of human resources in the border regions",11110,"UZHGOROD GYMNASIUM","Ukraine","Tacis Region","Zakarpatska region of Ukraine.
Main target groups: 
1. Local and regional authorities and their partners (bodies of self-government, local and regional boards, regional public administration and departments, society of bodies of local selft-government). 
2. Development Institutions of various business legal structures (agencies of regional and local development, business centres, chambers of commerce and industry, information and consulting companies, etc.). 
3. Non-profit organizations, particularly the ones focused on the promotion of trans-border cooperation in the sphere of education, including Ukrainian and Polish societies of culture,  national minorities and invalids, women's organizations, businessmen's associations, farmer unions, tourist agencies, etc.  
4. Different segments of population residing in the border areas. 
",200000,89.97,222300,20,"M",2007
142118,"Cluster development and B2B internationalization in  Estonian ¿ Russian border regions",32130,"KOHTLA JARVE LINNAVALITSUS","Estonia","Russia ","Ivangorod, Kingisepp, Slantsy. Leningrad Region.
Target group: SMEs.",238840.7,89,268353.03,24,"M",2007
142128,"Enhancement of Living Standards in Ferghana Valley,  AP2004",15140,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Uzbekistan ","Ferghana Valley",1000000,90.91,1100000,24,"M",2007
142344,"Energy Efficiency & Renewable Energy at a Medical Facility in Kommuna village (EERE)",23030,"UNISON","Kyrgyzstan","Kyrgyzstan","Kyrgyz Republic: Batken region",64459,89.27,72209,15,"M",2007
141765,"The Development of a Human Rights Based Culture for Disabled people in the Lao PDR ¿ The way to greater inclusion and participation",15162,"ASBL HANDICAP INTERNATIONAL VZW","Belgium","Laos","This project will be undertaken in the Lao People¿s Democratic Republic (Lao PDR), in the following target areas: Vientiane Capital, 1 District: Sikkouthabong; Vientiane Province, 3 Districts: Toulakom, Ponhong, Vang Vieng; Savannakhet Province, 3 districts: Sepon, Vilabuly and Nong; Champassak Province in 4 districts: 
",81000,90,90000,24,"M",2007
138436,"IBPP Culture: Russian-European Volunteer Renovation Workcamp",16061,"NACIONALNIY FOND VOZROZHDENIE RUSKOI USADBY","Russia ","Russia ","Yaroslavl region

Target group(s)	¿	youth ages 15 ¿ 27 in general;
¿	students of architecture, cultural management, archeology;
¿	museum professionals, craftsmen.
Final beneficiaries	&#61607;	inhabitants of  Voronino and surrounding villages and small towns;
&#61607;	Youth ages 15 ¿ 27;
&#61607;	Department on Culture and Tourism of the Government of Jaroslavl Region;
&#61607;	NGOs for youth activities and cultural heritage preservation.
",221200,79,280000,24,"M",2007
134620,"Extending Financial Services to the Poor of Malawi
",24030,"OPPORTUNITY TRUST FOUNDATION","United Kingdom","Malawi","Malawi - Northern region.
Target groups are vulnerable people living in poverty in the Northern region who are excluded from the financial system (e.g. land-constrained smallholders, female headed households, and AIDS sufferers). They are characterised by low life expectancy and by poor access to productive assets and the cash economy.",595000,38.54,1543916,36,"M",2007
146295,"Campaign for access to Information and Citizen Action",15162,"NEKOMMERCHESKOE PARTNERSTVO INSTITUT RAZVITIYA SVOBODY INFORMACII","Russia ","All Countries","RF, St. Petersburg
Target groups: 5 St. Petersburg NGOs, Entrepreneur and business associations; 10 Activists and lawyers working in NGOs, Individual citizens/clients of above-mentioned NGOs in need of governmental information, University law students ",72000,90,80000,12,"M",2007
147839,"Management of a Technical Support Facility (the GEEREF Regional Fund Support Facility) of the European Community in connection with the Global Energy Efficiency and Renewable Energy Fund (GEEREF)",23030,"EUROPEAN INVESTMENT FUND","Luxembourg","All Countries","All developing countries and countries eligible under the European Development Fund or the European Neighbourhood Policy.",5000000,100,5000000,36,"M",2007
129842,"AML/19.0902/06/18414/II-0548-FC-FA 
Bioprocesos: tecnologías limpias para la protección y sustentabilidad del medio ambiente (BIOPROAM)",11420,"UNIVERSIDAD CATOLICA DE VALPARAISO","Chile","Latin America Countries","Universidad Catolica de Valparaiso (CL)
Universidad Nacional de Mar de La Plata (AR)
Universidade Estadual Paulista,São Paulo (BR)
Universidade Federal de Ouro Preto (BR)
Universidad Central ¿Marta Abreu¿ de Villas (CU)
Universidad Autónoma Metropolitana (MX)
Universidad Peruana Cayetano Heredia (PE)",587950,100,587950,36,"M",2007
131107,"¿Towards Implementation of the EU Water Initiative and Integrated Water Resources Management in Moldova¿",14010,"REGIONAL ENVIRONMENTAL CENTER REC MOLDOVA","Moldova","Tacis Region","Support to the Regional Environmental Center for Moldova with activities in the field of environment in Moldova.The target group is mainly the population of Moldova.",224196,100,224196,24,"M",2007
130651," II-0534-A INTER: Postgraduate Eruo-Latin-american Programme in Intercultural",11420,"UNIVERSIDAD NACIONAL DE EDUCACION A DISTANCIA","Spain","Latin America Countries","Universidad Veracruzana (MX)
Universidad de Tarapacá (CL)
Universidad Técnica Particular de Loja (EC)
Fundación Universitaria Panamericana (CO)",441998.88,100,441998.88,24,"M",2007
128329,"Enhancing individual income and improving living standards of vulnerable population in Baljuvon and Khovaling Districts, Khatlon Oblast ¿ Second Phase",43040,"CESVI FOUNDATION ONLUS","Italy","Tajikistan","vulnerable population, farmers in Baljuvan and Khovaling districts of Khatlon province, Tajikistan",752896,90,836552,18,"M",2007
129452,"Connect Baltic-Russia",15110,"CENTER FOR REGIONAL AND INNOVATIONPOLICY NON PROFIT PARTNERSHIP","Russia ","Russia ","St.Petersburg, Leningrad Region.
Target group: business community",37050,95,39000,16,"M",2007
141349,"Provision of Basic Package of Health Services and Essential Package of Hospital Services in Ningarhar Province",12220,"STICHTING HEALTHNET INTERNATIONAL TRANSCULTURAL PSYCHOSOCIAL ORGANIZATION","Netherlands (The)","Afghanistan","Afghanistan - Nangarhar Province",7095933,97,7315395,23,"M",2007
141427,"Creation of student's ombudsmen association ",15162,"AR.RUKH.KHAK.","Kazakhstan","Kazakhstan","Kazakhstan: Almaty
",78391.38,88.98,88100,24,"M",2007
141145,"Pang Nga Tsunami Affected Communities¿ Economic and Social Rehabilitation and Sustainability (PNG_TACESERS) ",16010,"RAKS THAI FOUNDATION","Thailand","Thailand","Phang Nga province, in Southern Thailand",372563.43,87.15,427496.76,18,"M",2007
140838,"Establishment of Belarusian-Latvian Cooperation in the Field of Children's Palliative Care",12220,"BELARUSSIAN CHILDREN'S HOSPICE","Belarus","Tacis Region","Minsk, Belarus.
The proposed project is mostly aimed for medical, psycho-social and administrative specialists working in the filed of palliative care and all types of palliative care institutions (hospices, mobile teams, palliative stations in hospitals) existing on the territory of Latvia and Belarus. ",123098,90,136775,18,"M",2007
141160,"South Caucasus Anti-drug Programme Phase V (SCAD V)",16063,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Tacis Region","Target group: drug addicts and high-risk groups, government agencies and services working on drug reduction issues
Location: Georgia, Armenia, Azerbaijan (mainly in capitals, but the effect would cover the whole country)",1896324.78,90.73,2090000,24,"M",2007
140872,"Education and Employment Rights in Eastern Macedonia Institute for Democracy IDSCS",92030,"INSTITUT ZA DEMOKRATIJA SOCIETAS CIVILIS SKOPJE ZDRUZENIE","Macedonia (Former Yugoslav Republic of)","Macedonia (Former Yugoslav Republic of)","The project is targeting final year students in VET  schools and their teachers as well as the general population in eastern and south-eastern part of the country including Kocani, Stip, Strumica, Sveti Nikole. The overall objective of the project is to combat and raise awareness about  violations of labour and basic human rights of the female workforce in the textile industry .",39555,90,43950,12,"M",2007
141175,"New Life After the Tsunami ¿ Provision of Regional Training/ Support Services",16010,"POPULATION & COMMUNITY DEVELOPMENTASSOCIATION","Thailand","Thailand","Four provinces (Krabi, Phangnga, Phuket, Trang) in the Southern Thailand.",474164,80,592705,18,"M",2007
128010,"New Technologies for Safe Food: Challenges and Business Opportunities  EU-ASIA. (TECHFOOD EU-ASIA)",32130,"CENTRO DI SERVIZI E DOCUMENTAZIONEPER LA COOPERAZIONE ECONOMICA INTERNAZIONALE","Italy","Asia","Target groups are SMEs from Europe (Italy, Slovenia, Hungary) and Asia (China and Vietnam) in the food processing and food packaging sector. Two matchmaking events will be held one in Italy: Verona  - Veneto Region, the other event in China: Xi¿an - Shaanxi province. 145 participants are expected to attend each matchmaking event.
",419174.34,74.28,564331.91,24,"M",2007
137275,"Capacitating and cultivating right based intervention practices among local level stakehodlers against trafficking in far western region of Nepal",15162,"SRIJANSHEEL SAMAJKO SRIJANA","Nepal","Nepal","Women and adolescents+ vulnerables to trafficking from Kailali, Kanchanpur and Doti districts of NEPAL.",50000,88.82,56296,20,"M",2007
141259,"TRANSFRONTIER TOURISM DEVELOPMENT AND PROMOTION NETWORK IN IVANO-FRANKIVSK, UKRAINE, AND MARAMURESH, ROMANIA",33210,"TURISTICHNA ASOCIACIJA IVANO-FRANKIVSTINI","Ukraine","Ukraine","Ivano-Frankivsk, Ukraine
Target groups:  inhabitants of boder regions, tourists, loval NGOs and administrations",468000,89.6,522293,20,"M",2007
141280,"Go SMEs Go!",32130,"WIRTSCHAFTSKAMMER OSTERREICH","Austria","Kazakhstan","The project is located in Almaty, however part of activities are implemented in Astana in order to reach SMEs from the north region of the country. ",199419,79.95,249419,20,"M",2007
141302,"II -0531-FC-FA-FCD-FI Bacterialnet ''Emerging antimicrobial resistance: mechanisms, management and control''",11420,"UNIVERSITA DEGLI STUDI DI FIRENZE","Italy","Latin America Countries","Universidad Buenos Aires (AR)
Administración nacional de laboratorios e institutos de salud 
¿Dr. Carlos G. Malbrán» (AR)
Universidad de los Andes, Mérida (VE)
Instituto de Medicina Tropical ¿Alexander von Humboldt¿ - Universidad Peruana Cayetano Heredia, Lima (PE)
Instituto de Medicina Tropical ¿Daniel A. Carrión¿ - Universidad Nacional Mayor de San Marcos, Lima (PE)
Instituto Nacional de Laboratorios en Salud, La Paz (BO)",322282.5,75,429710,36,"M",2007
139556,"The enforcement of Human Rights in the area of pre-trial detention system in Albania",15162,"PERTHYERJE SHOQATA","Albania","Albania","Albania",36000,90,40000,8,"M",2007
139558,"Media freedom, media transparency and media independence in Albania",15163,"INSTITUTI SHQIPTAR I MEDIAS FONDATION","Albania","Albania","Albania",48982.2,90,54424.6,8,"M",2007
139564,"Strategic Mineral Resources of Lapland - Base for the Sustainable Development of the North",32220,"GEOLOGIAN TUTKIMUSKESKUS","Finland","Russia ","Geographical location: Apatity town and Murmansk region (Russia); Rovaniemi, Oulu (FI), Luleo (SE)
Target groups: geological enterprises and institutions; regional authorities.",261640,90,290711,19,"M",2007
140728,"LATINBANKS: Estudio sobre las implicaciones jurídicas y sociales de la creación de bancos de material biológico",11420,"UNIVERSIDAD DE DEUSTO","Spain","Latin America Countries","Universidad de Chile (CL)
Universidad de Montevideo (UY)
Universidad de Buenos Aires (AR)
Universidad Nacional Autónoma de México (MX)
Universidad Externado de Colombia (CO)
Asociación de Derecho Médico de Costa Rica (CR)",170190,75,226920,24,"M",2007
139640,"IN/VISIBLE CITY ",15162,"DAH TEATAR - CENTAR ZA POZORISNA ISTRAZIVANJA","Serbia","Ex-Yugoslavia","The project focussed heavily on multi-ethnic towns in Serbia.  Towns specifially covered were: Nis, Leskovac, Vranje, Subotica, Indjija.  A number of promotion activities were also organized in Belgrade.

The project used creative and innovative means to reach its objectives, which essentially aimed at awareness-raising about ethnic minorities and diversity, promotion of tolerance and local involvement. In each of these towns, there were series of activities organized. ",46987.48,59.56,78891,10,"M",2007
140416,"Promoción  y formación para  la inclusión socio-laboral de las personas con discapacidad y ejercicio de derechos humanos  en Caracas-Venezuela",15162,"ASOCIACION VENEZOLANA PARA EL SINDROME DE DOWN","Venezuela","Venezuela","Distrito Capital, Caracas - Jovenes y adultos con Sindrome de Down",60000,59.18,101379,18,"M",2007
139769,"Annual Membership Quota FAO (2007)",52010,"THE FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS","Italy","Italy",,258572.5,100,258572.5,12,"M",2007
134107,"Vdanceinternational video dance festival",16061,"HAAGUDA LEMIFALEY TARBUT VENOAR INTEL AVIV JAFFA ASSOCIATION","Israel","Israel","Israel",13543,25.6,52902,12,"M",2007
139856,"Integration against discriminations",15162,"ASSOCIAZIONE COMUNITA PAPA GIOVANNI XXIII ASSOCIAZIONE","Italy","Albania","Albania",38000,84.94,44740,7,"M",2007
140476,"NP LIT/POL/KAL: Establishment of household solid waste management complex in Gusev city district",14050,"URBAN DISTRICT ADMINISTRATION OF THE MUNICIPALITY GUSEV URBAN DISTRICT","Russia ","Russia ","Gusev. Kaliningrad Region.
Target group: local and municipal authorities, environmental managers, citizens.",500000,67.61,739571,24,"M",2007
140479,"NP LIT/POL/KAL: History of wars of 20th century in memorials to their participants",16061,"SCIENTIFIC INDUSTRIAL CENTRE FOR PRESERVATION OF HISTORICAL AND CULTURAL MONUMENTS IN KALININGRAD REGION","Russia ","Russia ","Kaliningrad
Target group: population of the region",270000,90,300000,18,"M",2007
140604,"Reforming of the state system of residential institutions for orphans and children without parental care in Ukraine: the significant step for protection of their rights",15162,"CHRISTIAN CHILDREN'S FUND UKRAINE","Ukraine","Ukraine","Ukraine/  Kyiv, Kanev, Kirovohrad
Target groups: children and young people without parental care, teachers, educators, and social pedagogues, representatives of state local authorities, representatives of various community public institutions",94000,71.48,131505.31,18,"M",2007
140233,"Capacitación, fortalecimiento y herramientas de Derechos humanos para el entorno familiar e institucional de la población reclusa en Venezuela",92020,"OBSERVATORIO VENEZOLANO DE PRISONES ASOCIACION CIVIL SIN FINES DE LUCRO","Venezuela","Venezuela","Region Capital y Estado Barinas
Target Group: personas privadas de libertad y sus familiares",59228.91,86.51,68461.49,12,"M",2007
140294,"Observatorio Venezolano de los Derechos Humanos de las Mujeres",15164,"CENTRO DE INVESTIGACION SOCIAL FORMACION Y ESTUDIOS DE LA MUJER ASSOCIAION CIVIL SIN FINES DE LUCRO","Venezuela","Venezuela","Venezuela, Distrito Capital, Caracas - 
Target group: Mujeres jóvenes y adultas",59552.9,57.04,104412.9,24,"M",2007
140308,"Euregio Karelia NP - Roots and Shoots of Runic song",16061,"JUMINKEKO-SAATIO","Finland","Russia ","RF, Republic of Karelia (Petrozavodsk, Kalevala region)
Central target groups of the Project are experts and actors of the cultural field and actors, enterprises and institutions, which are participating in the training and research activities in the field of cultural tourism. Apart from these groups the activities will be aimed at young people of the region who will through the Project get into contact with their cultural heritage. They are also the target group in other cooperation and training in the field of music. Indirectly beneficiary will be the whole society of the implementation region with its all spiritual and economical forms and structures of action, as the Project will create a common field of expertise in the field of music culture   
",247980.94,89.99,275565,24,"M",2007
128578,"Good Governance and Human Rights Education in Mongolia and Indonesia",11420,"UNIVERSITEIT UTRECHT","Netherlands (The)","Asia","Undergraduate students, post-graduate students, academicians, Public Officials and NGO staff in Mongolia and Indonesia.

The curriculum will be developed in joint partnership by Utrecht Universit in the Netherlands, Queens University in Belfast, Mykolos Romerio University in Vilnius, the University of Mongolia in Ulaanbataar and the University of Indonesia in Jakarta.",722850,75,963800,36,"M",2007
135481,"« Promotion de la production fruitière et maraichère sur le Haut Plateau Central en Haïti »",31120,"ASSOCIATION FRERES DES HOMMES","France","Haiti","Département du Centre
Plusieurs communes du Haut Plateau",377234,75,502979.72,36,"M",2007
134631,"Contribution au développement socio-économique du Vietnam par la formation professionnelle et l¿accès à l¿emploi de 1 600 jeunes défavorisés, dans le domaine du tourisme, en particulier de l¿hôtellerie-restauration.",11330,"COMITE CATHOLIQUE CONTRE LA FAIM ET POUR LE DEVELOPPEMENT ASSOCIATION","France","Vietnam","Vietnam, Hanoi
¿Les bénéficiaires directs : 1 600 jeunes défavorisés, vivant en dessous du seuil de pauvreté, jeunes d¿ethnies minoritaires, enfants des rues, jeunes filles risquant d¿être victimes de trafic humain, orphelins, enfants d¿invalides, dont 60% de filles.
¿Les formateurs et tout le personnel de l¿école Hoa Sua
¿Des entreprises du secteur de l¿hôtellerie-restauration
¿Les partenaires locaux du recrutement et les autorités vietnamiennes concernées
",739750.92,75,986334.56,48,"M",2007
135554,"An effective response to HIV through community and faith based engagement in Ethiopia 
",13040,"CHRISTIAN AID","United Kingdom","Ethiopia","Target groups: 9,450 PLHA, 37,800 people affected by HIV, 2,750 young people and 4,500 religious leaders. 
Regions: Amhara, SNNPR, Oromia. 
Cities: Dessie, Bahir Dar, Gondar, Awassa, Hossaena, Jimma, Nekemt
",1143958,75,1525278,36,"M",2007
146502,"Capacity Building for the Lebanon Mine Action Centre (LMAC)",15250,"UNITED NATIONS DEVELOPMENT PROGRAMME","United States","Lebanon","Assistance technique auprès du LMAC (Lebanon Mine action center) sur tout le Liban",1000000,100,1000000,30,"M",2007
145867,"Augmentation, diversification et commercialisation agricole pour améliorer la sécurité alimentaire des agriculteurs du Passoré",52010,"CHRISTIAN AID","United Kingdom","Burkina Faso","Province du Passoré, communes rurales de Samba (villages de  Pella, Mesga, Batono, Kourono, Ouaguissi, Thebo, Toessin, Dakola, Kiè, Somyalghin), Bagaré (villages de Bibiou, Koro et Bagaré) et La-Todin (villages de La Toden, Kollo et Bissiga)  ",1163930,73.95,1573930,42,"M",2007
146106,"Promoting Democratic Culture in Sudan ",15162,"SUDANESE STUDIES CENTER","Sudan","Sudan","Khartoum",71068.31,91.5,77670,16,"M",2007
145527,"Appui aux familles vulnérables dans deux zones cotonnières du Mali",43040,"ASSOCIATION VETERINAIRES SANS FRONTIERES - CENTRE INTERNATIONAL DE COOPERATION POUR LE DEVELOPPEMENT AGRICOLE VSF CICDA","France","Mali","L'action s'adresse aux organisations de producteurs ayant obtenu la certification biologique et/ou commerce équitable, à 300 éleveurs relais et 150 femmes ciblées sur l'intégration agriculture-élevage qui pratiquent le coton bio et/ou la maraîchage et le petit élevage, à 1 500 exploitations agricoles familiales vulnérables (12 000 personnes ou encore 6 000 actifs environ). Le projet intervient au Mali, dans les régions de Kayes (cercle de Kita) et Sikasso (cercles de Bougouni, Yanfolila et Kolondiéba)",740614.53,75,987486.71,48,"M",2007
137619,"Fazer a democracia acontecer na radiodifusão: uma rádio comunitária para promover a participação politica activa nos distritos de Chinde e Inhassunge",15162,"KULIMA ASSOCIACAO","Mozambique","Mozambique","Pais: Moçambique
Provincia: Zambezia
Distritos: Chinde e Inhassunge
Grupo alvo: membros da associaçao da radio, as associaçoes dos distritos, 20 voluntarios (10 para Chinde e 10 para Inhassunge) envolvidos nas actividades da radio. ",99994.96,87.64,114094.96,36,"M",2007
145885,"Stop Child Soldiers",15162,"HUMAN SECURITY INITIATIVE ORGANIZATION ASSOCIATION","Sudan","All Countries","Sudan (national)",93483,95,98403,12,"M",2007
